2NE1_zh.wikipedia.org_all-access_spider,date_idx
9,3/14/2016
10,3/15/2016
14,3/16/2016
17,3/17/2016
6,3/18/2016
18,3/19/2016
13,3/20/2016
11,3/21/2016
12,3/22/2016
11,3/23/2016
8,3/24/2016
15,3/25/2016
11,3/26/2016
20,3/27/2016
59,3/28/2016
11,3/29/2016
18,3/30/2016
17,3/31/2016
12,4/1/2016
14,4/2/2016
13,4/3/2016
9,4/4/2016
490,4/5/2016
189,4/6/2016
102,4/7/2016
38,4/8/2016
126,4/9/2016
71,4/10/2016
21,4/11/2016
57,4/12/2016
79,4/13/2016
17,4/14/2016
17,4/15/2016
23,4/16/2016
16,4/17/2016
23,4/18/2016
18,4/19/2016
22,4/20/2016
44,4/21/2016
6,4/22/2016
31,4/23/2016
17,4/24/2016
25,4/25/2016
40,4/26/2016
19,4/27/2016
15,4/28/2016
15,4/29/2016
29,4/30/2016
18,5/1/2016
16,5/2/2016
13,5/3/2016
20,5/4/2016
22,5/5/2016
19,5/6/2016
11,5/7/2016
50,5/8/2016
22,5/9/2016
39,5/10/2016
23,5/11/2016
21,5/12/2016
23,5/13/2016
22,5/14/2016
16,5/15/2016
19,5/16/2016
35,5/17/2016
16,5/18/2016
12,5/19/2016
15,5/20/2016
13,5/21/2016
14,5/22/2016
10,5/23/2016
21,5/24/2016
20,5/25/2016
19,5/26/2016
14,5/27/2016
12,5/28/2016
15,5/29/2016
17,5/30/2016
16,5/31/2016
21,6/1/2016
27,6/2/2016
13,6/3/2016
11,6/4/2016
15,6/5/2016
14,6/6/2016
18,6/7/2016
18,6/8/2016
10,6/9/2016
11,6/10/2016
14,6/11/2016
18,6/12/2016
14,6/13/2016
13,6/14/2016
17,6/15/2016
15,6/16/2016
14,6/17/2016
234,6/18/2016
8,6/19/2016
62,6/20/2016
26,6/21/2016
22,6/22/2016
8,6/23/2016
22,6/24/2016
15,6/25/2016
69,6/26/2016
11,6/27/2016
18,6/28/2016
23,6/29/2016
12,6/30/2016
20,7/1/2016
17,7/2/2016
15,7/3/2016
16,7/4/2016
18,7/5/2016
21,7/6/2016
15,7/7/2016
30,7/8/2016
115,7/9/2016
56,7/10/2016
45,7/11/2016
17,7/12/2016
18,7/13/2016
15,7/14/2016
18,7/15/2016
14,7/16/2016
15,7/17/2016
15,7/18/2016
24,7/19/2016
22,7/20/2016
18,7/21/2016
30,7/22/2016
12,7/23/2016
13,7/24/2016
18,7/25/2016
17,7/26/2016
31,7/27/2016
26,7/28/2016
29,7/29/2016
12,7/30/2016
19,7/31/2016
19,8/1/2016
57,8/2/2016
17,8/3/2016
20,8/4/2016
49,8/5/2016
10,8/6/2016
19,8/7/2016
26,8/8/2016
41,8/9/2016
23,8/10/2016
30,8/11/2016
55,8/12/2016
17,8/13/2016
24,8/14/2016
14,8/15/2016
12,8/16/2016
49,8/17/2016
42,8/18/2016
37,8/19/2016
13,8/20/2016
30,8/21/2016
20,8/22/2016
33,8/23/2016
20,8/24/2016
14,8/25/2016
40,8/26/2016
15,8/27/2016
18,8/28/2016
26,8/29/2016
8,8/30/2016
25,8/31/2016
21,9/1/2016
20,9/2/2016
25,9/3/2016
19,9/4/2016
23,9/5/2016
18,9/6/2016
19,9/7/2016
18,9/8/2016
55,9/9/2016
16,9/10/2016
65,9/11/2016
11,9/12/2016
11,9/13/2016
13,9/14/2016
20,9/15/2016
21,9/16/2016
13,9/17/2016
24,9/18/2016
20,9/19/2016
13,9/20/2016
32,9/21/2016
16,9/22/2016
10,9/23/2016
13,9/24/2016
44,9/25/2016
17,9/26/2016
13,9/27/2016
72,9/28/2016
40,9/29/2016
19,9/30/2016
14,10/1/2016
13,10/2/2016
12,10/3/2016
14,10/4/2016
10,10/5/2016
26,10/6/2016
13,10/7/2016
22,10/8/2016
14,10/9/2016
23,10/10/2016
12,10/11/2016
8,10/12/2016
50,10/13/2016
13,10/14/2016
10,10/15/2016
16,10/16/2016
14,10/17/2016
10,10/18/2016
24,10/19/2016
10,10/20/2016
20,10/21/2016
10,10/22/2016
26,10/23/2016
25,10/24/2016
16,10/25/2016
19,10/26/2016
20,10/27/2016
12,10/28/2016
19,10/29/2016
50,10/30/2016
16,10/31/2016
30,11/1/2016
18,11/2/2016
25,11/3/2016
14,11/4/2016
20,11/5/2016
8,11/6/2016
67,11/7/2016
13,11/8/2016
41,11/9/2016
10,11/10/2016
21,11/11/2016
13,11/12/2016
8,11/13/2016
15,11/14/2016
14,11/15/2016
12,11/16/2016
6,11/17/2016
11,11/18/2016
10,11/19/2016
42,11/20/2016
21,11/21/2016
24,11/22/2016
14,11/23/2016
11,11/24/2016
204,11/25/2016
14,11/26/2016
45,11/27/2016
33,11/28/2016
28,11/29/2016
18,11/30/2016
14,12/1/2016
47,12/2/2016
15,12/3/2016
14,12/4/2016
18,12/5/2016
20,12/6/2016
14,12/7/2016
16,12/8/2016
14,12/9/2016
20,12/10/2016
60,12/11/2016
22,12/12/2016
15,12/13/2016
17,12/14/2016
19,12/15/2016
18,12/16/2016
21,12/17/2016
21,12/18/2016
47,12/19/2016
65,12/20/2016
17,12/21/2016
32,12/22/2016
63,12/23/2016
15,12/24/2016
26,12/25/2016
14,12/26/2016
20,12/27/2016
22,12/28/2016
19,12/29/2016
18,12/30/2016
20,12/31/2016
